group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialisation with bincode,,,,,898687.0,ns,55840
Serialisation with bincode,,,,,1805561.0,ns,111680
Serialisation with bincode,,,,,2769467.0,ns,167520
Serialisation with bincode,,,,,3662394.0,ns,223360
Serialisation with bincode,,,,,4593801.0,ns,279200
Serialisation with bincode,,,,,6427373.0,ns,335040
Serialisation with bincode,,,,,6453478.0,ns,390880
Serialisation with bincode,,,,,7820203.0,ns,446720
Serialisation with bincode,,,,,8231906.0,ns,502560
Serialisation with bincode,,,,,11545721.0,ns,558400
Serialisation with bincode,,,,,10102422.0,ns,614240
Serialisation with bincode,,,,,11503982.0,ns,670080
Serialisation with bincode,,,,,12433596.0,ns,725920
Serialisation with bincode,,,,,13306697.0,ns,781760
Serialisation with bincode,,,,,14026319.0,ns,837600
Serialisation with bincode,,,,,14720272.0,ns,893440
Serialisation with bincode,,,,,16397740.0,ns,949280
Serialisation with bincode,,,,,17105787.0,ns,1005120
Serialisation with bincode,,,,,18034382.0,ns,1060960
Serialisation with bincode,,,,,19312429.0,ns,1116800
Serialisation with bincode,,,,,19446539.0,ns,1172640
Serialisation with bincode,,,,,20641725.0,ns,1228480
Serialisation with bincode,,,,,24553267.0,ns,1284320
Serialisation with bincode,,,,,22599237.0,ns,1340160
Serialisation with bincode,,,,,23924830.0,ns,1396000
Serialisation with bincode,,,,,25346900.0,ns,1451840
Serialisation with bincode,,,,,31784037.0,ns,1507680
Serialisation with bincode,,,,,26790444.0,ns,1563520
Serialisation with bincode,,,,,27424740.0,ns,1619360
Serialisation with bincode,,,,,28393219.0,ns,1675200
Serialisation with bincode,,,,,31742948.0,ns,1731040
Serialisation with bincode,,,,,29988339.0,ns,1786880
Serialisation with bincode,,,,,31563475.0,ns,1842720
Serialisation with bincode,,,,,32207798.0,ns,1898560
Serialisation with bincode,,,,,33708778.0,ns,1954400
Serialisation with bincode,,,,,34257529.0,ns,2010240
Serialisation with bincode,,,,,35151706.0,ns,2066080
Serialisation with bincode,,,,,39603041.0,ns,2121920
Serialisation with bincode,,,,,36464265.0,ns,2177760
Serialisation with bincode,,,,,37718218.0,ns,2233600
Serialisation with bincode,,,,,39113122.0,ns,2289440
Serialisation with bincode,,,,,39327327.0,ns,2345280
Serialisation with bincode,,,,,45221301.0,ns,2401120
Serialisation with bincode,,,,,41131416.0,ns,2456960
Serialisation with bincode,,,,,42156508.0,ns,2512800
Serialisation with bincode,,,,,42606439.0,ns,2568640
Serialisation with bincode,,,,,44587007.0,ns,2624480
Serialisation with bincode,,,,,47982340.0,ns,2680320
Serialisation with bincode,,,,,47464139.0,ns,2736160
Serialisation with bincode,,,,,46948893.0,ns,2792000
Serialisation with bincode,,,,,48797575.0,ns,2847840
Serialisation with bincode,,,,,49460626.0,ns,2903680
Serialisation with bincode,,,,,55188535.0,ns,2959520
Serialisation with bincode,,,,,53206466.0,ns,3015360
Serialisation with bincode,,,,,54890877.0,ns,3071200
Serialisation with bincode,,,,,55020517.0,ns,3127040
Serialisation with bincode,,,,,57543631.0,ns,3182880
Serialisation with bincode,,,,,64286541.0,ns,3238720
Serialisation with bincode,,,,,57330578.0,ns,3294560
Serialisation with bincode,,,,,60010737.0,ns,3350400
Serialisation with bincode,,,,,64778463.0,ns,3406240
Serialisation with bincode,,,,,58868674.0,ns,3462080
Serialisation with bincode,,,,,70844041.0,ns,3517920
Serialisation with bincode,,,,,60438544.0,ns,3573760
Serialisation with bincode,,,,,63568168.0,ns,3629600
Serialisation with bincode,,,,,63787842.0,ns,3685440
Serialisation with bincode,,,,,67870847.0,ns,3741280
Serialisation with bincode,,,,,64473641.0,ns,3797120
Serialisation with bincode,,,,,65106596.0,ns,3852960
Serialisation with bincode,,,,,69746009.0,ns,3908800
Serialisation with bincode,,,,,67533510.0,ns,3964640
Serialisation with bincode,,,,,68741339.0,ns,4020480
Serialisation with bincode,,,,,71806053.0,ns,4076320
Serialisation with bincode,,,,,70083668.0,ns,4132160
Serialisation with bincode,,,,,71103938.0,ns,4188000
Serialisation with bincode,,,,,71524063.0,ns,4243840
Serialisation with bincode,,,,,73713939.0,ns,4299680
Serialisation with bincode,,,,,75058718.0,ns,4355520
Serialisation with bincode,,,,,79421698.0,ns,4411360
Serialisation with bincode,,,,,75610408.0,ns,4467200
Serialisation with bincode,,,,,77348503.0,ns,4523040
Serialisation with bincode,,,,,81682921.0,ns,4578880
Serialisation with bincode,,,,,91224826.0,ns,4634720
Serialisation with bincode,,,,,87550470.0,ns,4690560
Serialisation with bincode,,,,,96145043.0,ns,4746400
Serialisation with bincode,,,,,81398559.0,ns,4802240
Serialisation with bincode,,,,,86591767.0,ns,4858080
Serialisation with bincode,,,,,84405710.0,ns,4913920
Serialisation with bincode,,,,,84491851.0,ns,4969760
Serialisation with bincode,,,,,90340420.0,ns,5025600
Serialisation with bincode,,,,,92038361.0,ns,5081440
Serialisation with bincode,,,,,100247341.0,ns,5137280
Serialisation with bincode,,,,,89231200.0,ns,5193120
Serialisation with bincode,,,,,91630010.0,ns,5248960
Serialisation with bincode,,,,,90201509.0,ns,5304800
Serialisation with bincode,,,,,91191057.0,ns,5360640
Serialisation with bincode,,,,,94361555.0,ns,5416480
Serialisation with bincode,,,,,92509774.0,ns,5472320
Serialisation with bincode,,,,,94836276.0,ns,5528160
Serialisation with bincode,,,,,104232257.0,ns,5584000
