group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Serialisation with rmp-serde,,,,,931653.0,ns,32015
Serialisation with rmp-serde,,,,,1806936.0,ns,64030
Serialisation with rmp-serde,,,,,3994294.0,ns,96045
Serialisation with rmp-serde,,,,,3846613.0,ns,128060
Serialisation with rmp-serde,,,,,4566563.0,ns,160075
Serialisation with rmp-serde,,,,,5602756.0,ns,192090
Serialisation with rmp-serde,,,,,7274908.0,ns,224105
Serialisation with rmp-serde,,,,,7398018.0,ns,256120
Serialisation with rmp-serde,,,,,8792053.0,ns,288135
Serialisation with rmp-serde,,,,,9176021.0,ns,320150
Serialisation with rmp-serde,,,,,10637569.0,ns,352165
Serialisation with rmp-serde,,,,,11784121.0,ns,384180
Serialisation with rmp-serde,,,,,12552571.0,ns,416195
Serialisation with rmp-serde,,,,,12793064.0,ns,448210
Serialisation with rmp-serde,,,,,14450419.0,ns,480225
Serialisation with rmp-serde,,,,,19491947.0,ns,512240
Serialisation with rmp-serde,,,,,16652058.0,ns,544255
Serialisation with rmp-serde,,,,,18295127.0,ns,576270
Serialisation with rmp-serde,,,,,18820490.0,ns,608285
Serialisation with rmp-serde,,,,,19323824.0,ns,640300
Serialisation with rmp-serde,,,,,21061174.0,ns,672315
Serialisation with rmp-serde,,,,,20864336.0,ns,704330
Serialisation with rmp-serde,,,,,22820896.0,ns,736345
Serialisation with rmp-serde,,,,,29560899.0,ns,768360
Serialisation with rmp-serde,,,,,24455080.0,ns,800375
Serialisation with rmp-serde,,,,,25110878.0,ns,832390
Serialisation with rmp-serde,,,,,26402869.0,ns,864405
Serialisation with rmp-serde,,,,,27608262.0,ns,896420
Serialisation with rmp-serde,,,,,28663575.0,ns,928435
Serialisation with rmp-serde,,,,,29243470.0,ns,960450
Serialisation with rmp-serde,,,,,31039604.0,ns,992465
Serialisation with rmp-serde,,,,,44907569.0,ns,1024480
Serialisation with rmp-serde,,,,,35857472.0,ns,1056495
Serialisation with rmp-serde,,,,,32144237.0,ns,1088510
Serialisation with rmp-serde,,,,,33277048.0,ns,1120525
Serialisation with rmp-serde,,,,,34071369.0,ns,1152540
Serialisation with rmp-serde,,,,,34734353.0,ns,1184555
Serialisation with rmp-serde,,,,,36707935.0,ns,1216570
Serialisation with rmp-serde,,,,,36210521.0,ns,1248585
Serialisation with rmp-serde,,,,,38636271.0,ns,1280600
Serialisation with rmp-serde,,,,,44355797.0,ns,1312615
Serialisation with rmp-serde,,,,,40892881.0,ns,1344630
Serialisation with rmp-serde,,,,,40449307.0,ns,1376645
